﻿Destalhamento da Despesa 2023
Unid. Gestora;Aprovado;Alteração;Movimentação;Bloqueado;Autorizado;Empenhado;Liquidado;
"FUNDO DE SAÚDE DO DISTRITO FEDERAL";3.752.243.355,00;-3.656.458.072,38;-87.477.871,00;3.400.857,00;4.906.554,62;0,00;0,00;
"FUNDO DE SEGURANÇA PÚBLICA DO DISTRITO FEDERAL -";35.000.000,00;90.178.644,00;0,00;0,00;125.178.644,00;25.623.289,33;25.618.289,33;
"FUNDO DISTRITAL DE COMBATE À CORRUPÇÃO (FDCC)";500.000,00;1.975.186,00;0,00;0,00;2.475.186,00;12.800,00;12.800,00;
"FUNDO DISTRITAL DE DESENVOLVIMENTO RURAL - FDR";2.636.191,00;384.465,00;0,00;0,00;3.020.656,00;2.123.558,33;2.060.812,72;
"FUNDO DISTRITAL DE HAB. DE INTERESSE SOCIAL";168.394,00;0,00;0,00;0,00;168.394,00;0,00;0,00;
"FUNDO DISTRITAL DE SANIDADE ANIMAL";187.920,00;0,00;0,00;0,00;187.920,00;54.963,41;54.963,41;
"FUNDO DO DIREITO DA CRIANCA E DO ADOLESCENTE";62.087.956,00;50.217.792,00;-6.659.619,09;0,00;105.646.128,91;5.136.535,28;4.755.026,73;
"FUNDO DO TRABALHO DO DISTRITO FEDERAL - FTDF";10.000,00;260.705,00;0,00;0,00;270.705,00;244.972,62;237.461,08;
"FUNDO DOS DIREITOS DO IDOSO DO DF - FDI/DF";20.000,00;2.531.730,00;0,00;0,00;2.551.730,00;25.794,81;10.254,81;
"FUNDO FINANCEIRO DE PREVIDÊNCIA DO DF";4.921.302.171,00;322.292.679,00;-548.485.991,00;150.000,00;4.694.958.859,00;4.414.344.881,03;4.403.276.709,38;
"FUNDO MODER, MANUT E REAPAR ATIV. URBANA- FUNDAFAU";133.400.000,00;-18.529.130,00;-618.307,51;200.269,00;114.052.293,49;113.582.683,74;113.461.932,07;
"FUNDO P/A GERAÇÃO DE EMP. E RENDA DO DF - FUNGER";23.319.202,00;0,00;0,00;0,00;23.319.202,00;9.837.662,16;9.673.160,65;
"FUNDO PENITENCIÁRIO DO DF - FUNPDF";5.408.620,00;56.122.804,00;0,00;0,00;61.531.424,00;5.188.253,99;4.957.454,94;
"FUNDO ÚNICO DE MEIO AMBIENTE DO DISTRITO FEDERAL";3.091.837,00;-927.551,00;0,00;0,00;2.164.286,00;477.430,00;0,00;
"GABINETE DO VICE-GOVERNADOR DO DISTRITO FEDERAL";14.787.850,00;-4.811.760,00;24.296.538,63;0,00;34.272.628,63;30.515.285,94;25.631.453,25;
"INSTITUTO DE ASSIST. À SAÚDE DOS SERV. DO DF-INAS";337.093.815,00;409.085.467,00;0,00;0,00;746.179.282,00;727.441.924,43;678.608.882,46;
"INSTITUTO DE DEFESA DO CONSUMIDOR DO DF";17.506.443,00;1.226.522,00;0,00;0,00;18.732.965,00;17.942.837,24;17.814.392,23;
"INSTITUTO DE MEIO AMBIENTE E REC. HÍDRICOS DO DF";115.747.654,00;-1.405.460,00;-112.299,01;92.168,00;114.137.726,99;109.285.281,95;107.300.262,69;
"INSTITUTO DE PESQUISA E ESTATÍSTICA DO DF";119.823.426,00;-5.246.527,00;980.921,67;0,00;115.557.820,67;111.175.537,13;107.065.898,29;
"INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO DF";0,00;0,00;20.607.888,00;0,00;20.607.888,00;16.611.143,57;16.306.158,17;
"JARDIM BOTÂNICO DE BRASÍLIA";6.592.181,00;826.940,00;0,00;0,00;7.419.121,00;6.890.394,78;6.794.275,95;
"JUNTA COMERCIAL, INDUSTRIAL E SERVIÇOS DO DF";23.129.200,00;0,00;0,00;0,00;23.129.200,00;8.737.584,97;8.590.938,93;
"NOVO FUNDO CAPITALIZADO DE PREVIDÊNCIA DO DF";0,00;0,00;527.878.103,00;0,00;527.878.103,00;417.577,83;395.077,83;
"POLÍCIA CIVIL DO DISTRITO FEDERAL - PCDF";242.562.814,00;-39.073.669,00;0,00;0,00;203.489.145,00;161.969.092,75;141.185.880,13;
"POLÍCIA MILITAR DO DISTRITO FEDERAL - PMDF";97.049.161,00;83.989.612,00;0,00;0,00;181.038.773,00;123.091.003,73;115.539.824,18;
"PROCURADORIA - GERAL DO DISTRITO FEDERAL";180.118.117,00;17.098.446,00;0,00;360.000,00;196.856.563,00;195.050.537,84;194.229.694,63;
"REGIÃO ADMINISTRATIVA DE ARNIQUEIRA - RA XXXIII";4.047.925,00;204.197,00;10.002,00;0,00;4.262.124,00;4.132.574,34;4.114.648,49;
"REGIÃO ADMINISTRATIVA DO SOL NASCENTE - RA XXXII";2.219.344,00;-2.102.790,00;0,00;12.064,00;104.490,00;0,00;0,00;
"RESERVA DE CONTINGENCIA";117.854.440,00;-116.432.404,00;0,00;2,00;1.422.034,00;0,00;0,00;
"SEC. DE ESTADO DE DESENVOLVIMENTO ECONÔMICO DO DF";68.667.697,00;-20.584.574,00;-47.967.627,00;100.000,00;15.496,00;0,00;0,00;
"SEC. DE ESTADO PROT. ORDEM URBANÍSTICA - DF LEGAL";216.503.142,00;31.601.781,00;618.307,51;680.000,00;248.043.230,51;244.552.630,21;239.452.885,32;
"SEÇÃO DE ORÇAMENTO DA SEPLAD";3.872.753.247,00;-900.312.007,92;43.376.241,47;52.711.739,93;2.963.105.740,62;2.672.976.931,32;2.534.678.089,04;
"SECR. DE ESTADO DE PLANEJAMENTO, ORÇAMENTO E ADMIN";0,00;-44.000.000,00;1.322.655.446,92;12.500.000,00;1.266.155.446,92;1.265.528.317,27;1.257.488.175,85;
"SECR. EST. DESENV. ECON., TRABALHO E RENDA DO DF";338.430.708,00;-38.842.392,00;46.741.805,40;39.527.230,00;306.802.891,40;286.687.350,78;274.866.084,12;
"SECRETARIA  DE ESTADO DE COMUNICAÇÃO DO DISTRITO F";193.860.447,00;-2.327.002,00;-2.345,00;0,00;191.531.100,00;188.088.044,03;163.612.087,91;
"SECRETARIA DE AGRIC. ABASTECIMENTO E DESENV RURAL";95.460.278,00;21.020.311,00;0,00;360.000,00;116.120.589,00;88.068.711,60;85.758.217,81;
"SECRETARIA DE DESENVOLVIMENTO SOCIAL DO DF";534.299.878,00;213.774.677,00;2.640,00;150.001,00;747.927.194,00;745.826.539,07;726.742.372,50;
"SECRETARIA DE EST. DE  SEGURANÇA PÚBLICA DO DF";77.597.428,00;12.123.410,89;-6.540.000,00;3.000.000,00;80.180.838,89;64.219.387,36;61.564.120,21;
"SECRETARIA DE EST. DE CULTURA E ECON. CRIAT. DO DF";213.837.760,00;70.516.476,00;-3.183.038,40;2.119.240,00;279.051.957,60;222.726.892,17;191.815.860,04;
"SECRETARIA DE EST. DE DESENV. URB. E HABIT. DO DF";101.247.689,00;-26.843.350,00;-2.640,00;0,00;74.401.699,00;73.507.971,76;72.676.822,89;
"SECRETARIA DE EST. DE JUSTIÇA E CIDADANIA DO DF";530.233.207,00;86.158.928,00;2.037.723,21;1.715.675,00;616.714.183,21;607.074.731,63;592.577.920,65;
"SECRETARIA DE EST. DE TURISMO DO DISTRITO FEDERAL";101.773.165,00;3.626.100,00;4.642.350,00;8.449.538,00;101.592.077,00;92.661.878,44;86.485.432,11;
"SECRETARIA DE EST.DE TRANSPORTE E MOBILIDADE DO DF";1.138.440.362,00;625.901.555,00;-2.243.029,18;32.022,00;1.762.066.865,82;1.752.332.676,57;1.741.186.873,18;
"SECRETARIA DE ESTADO DA FAMÍLIA E JUVENTUDE DO DF";0,00;4.527.501,00;-2.580.000,00;825.501,00;1.122.000,00;0,00;0,00;
"SECRETARIA DE ESTADO DA MULHER DO DISTRITO FEDERAL";40.117.254,00;24.719.630,00;-569.000,00;331.000,00;63.936.884,00;53.218.790,63;52.768.177,95;
"SECRETARIA DE ESTADO DE ADM. PENITENCIÁRIA DO DF";477.482.929,00;61.350.922,00;0,00;2.425.826,00;536.408.025,00;529.942.542,82;515.767.007,00;
"SECRETARIA DE ESTADO DE ATEND. À COMUNIDADE DO DF";7.651.304,00;3.835.823,00;130.648,56;0,00;11.617.775,56;10.790.240,75;8.602.214,24;
"SECRETARIA DE ESTADO DE CIÊNCIA, TECNOLOGIA E INOV";26.521.300,00;16.961.589,00;-518.350,00;28.569,00;42.935.970,00;40.471.607,82;30.213.206,15;
"SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF";4.077.698.671,00;604.023.387,00;-231.360.094,59;19.604.312,00;4.430.757.651,41;3.720.955.838,09;3.298.128.070,57;
"SECRETARIA DE ESTADO DE ESPORTE E LAZER DO DF";193.528.234,00;14.506.318,00;40.187.278,61;6.051.000,00;242.170.830,61;169.464.170,02;154.547.455,79;
"SECRETARIA DE ESTADO DE GOVERNO DO DISTRITO FEDERA";19.991.827,00;2.426.661,00;-9.824,19;0,00;22.408.663,81;21.703.683,22;21.020.602,98;
"SECRETARIA DE ESTADO DE OBRAS E INFRAEST. DO DF";915.733.428,00;176.676.770,00;3.325.936,00;146.716.989,80;949.019.144,20;586.813.614,77;520.114.818,04;
"SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL";0,00;-1.444.641,64;4.808.461.463,10;8.000.000,00;4.799.016.821,46;4.360.128.832,73;4.061.524.721,07;
"SECRETARIA DE ESTADO DO MEIO AMBIENTE";19.638.972,00;26.351.443,00;107.715,82;310.000,00;45.788.130,82;29.400.134,29;29.214.068,83;
"SERVIÇO DE LIMPEZA URBANA DO DISTRITO FEDERAL- SLU";685.250.423,00;162.350.812,00;442.542,00;1.847.987,00;846.195.790,00;834.536.404,75;816.059.055,64;
"SOCIED. DE TRANSP. COLETIVOS DE BRASILIA - TCB";28.049.525,00;-1.259.620,00;210.691.282,09;8.694,00;237.472.493,09;236.440.403,99;223.824.565,10;
"SOCIEDADE DE ABASTECIMENTO DE BRASÍLIA - SAB";24.172.137,00;110.000,00;0,00;0,00;24.282.137,00;20.235.011,64;20.166.691,64;
"TRIBUNAL DE CONTAS DO DISTRITO FEDERAL";517.598.376,00;-40.527.042,00;0,00;0,00;477.071.334,00;475.757.792,67;460.534.827,24;
"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";20.611.824,00;-4.937.634,00;0,00;0,00;15.674.190,00;12.011.203,98;11.538.500,81;
