﻿Destalhamento da Despesa 2022
Unid. Gestora;Aprovado;Alteração;Movimentação;Bloqueado;Autorizado;Empenhado;Liquidado;
"ADMINISTRAÇÃO REGIONAL DO GAMA";17.559.629,00;-2.600.441,00;0,00;969.115,53;13.990.072,47;13.407.619,68;12.951.377,70;
"ADMINISTRAÇÃO REGIONAL DO GUARÁ";16.581.726,00;-4.770.958,00;-1.615.178,31;1.948,88;10.193.640,81;9.944.052,33;9.742.884,79;
"ADMINISTRAÇÃO REGIONAL DO ITAPOÃ";4.302.913,00;548.022,00;-1.000.000,00;17.736,55;3.833.198,45;3.810.057,71;3.742.811,08;
"ADMINISTRAÇÃO REGIONAL DO JARDIM BOTÂNICO";7.970.980,00;-1.021.879,00;0,00;8.474,15;6.940.626,85;6.776.993,92;6.758.561,12;
"ADMINISTRAÇÃO REGIONAL DO LAGO NORTE";5.654.058,00;414.529,00;0,00;5.871,87;6.062.715,13;5.958.275,42;5.879.811,63;
"ADMINISTRAÇÃO REGIONAL DO LAGO SUL";6.033.650,00;-772.329,00;0,00;9.047,64;5.252.273,36;4.961.953,37;4.919.240,55;
"ADMINISTRAÇÃO REGIONAL DO PARANOÁ";5.319.101,00;-127.359,00;0,00;33.541,21;5.158.200,79;4.561.425,52;4.531.013,77;
"ADMINISTRAÇÃO REGIONAL DO PARK WAY";7.029.883,00;-940.103,00;0,00;46.443,29;6.043.336,71;5.800.374,24;5.732.263,83;
"ADMINISTRAÇÃO REGIONAL DO PLANO PILOTO";24.063.555,00;-9.759.010,00;-672.200,00;25.692,69;13.606.652,31;12.586.429,74;8.659.498,19;
"ADMINISTRAÇÃO REGIONAL DO RECANTO DAS EMAS";7.339.622,00;-1.135.571,00;0,00;49.447,53;6.154.603,47;5.586.478,15;5.560.947,31;
"ADMINISTRAÇÃO REGIONAL DO RIACHO FUNDO";11.195.922,00;-3.383.652,00;0,00;47.109,48;7.765.160,52;7.343.685,27;7.295.449,82;
"ADMINISTRAÇÃO REGIONAL DO RIACHO FUNDO II";4.243.817,00;-426.633,00;0,00;23.518,89;3.793.665,11;3.738.300,00;3.682.372,46;
"ADMINISTRAÇÃO REGIONAL DO SUDOESTE/OCTOGONAL";6.685.044,00;-1.084.992,00;0,00;8.664,13;5.591.387,87;5.470.243,81;4.807.226,46;
"ADMINISTRAÇÃO REGIONAL DO VARJÃO";2.665.743,00;-61.936,00;0,00;21.232,73;2.582.574,27;2.329.019,68;2.327.448,08;
"ADMINISTRAÇÃO REGIONAL SETOR IND. E ABASTECIMENTO";4.550.687,00;-702.138,00;-47.600,00;12.354,72;3.788.594,28;3.273.008,59;3.226.613,76;
"AG. REG. DE ÁGUAS E SAN. BÁSICO DO DF - ADASA";60.554.059,00;4.916.634,00;-5.152.588,36;0,00;60.318.104,64;53.793.015,35;53.143.666,98;
"ARQUIVO PÚBLICO DO DISTRITO FEDERAL";6.345.930,00;-986.944,00;0,00;0,00;5.358.986,00;4.596.366,01;4.579.867,01;
"CÂMARA LEGISLATIVA DO DISTRITO FEDERAL";620.619.711,00;-60.000.000,00;-144.000,00;0,00;560.475.711,00;556.883.569,60;517.601.777,94;
"CASA CIVIL DO DISTRITO FEDERAL";91.537.753,00;3.155.076,00;-368.959,60;3.026,04;94.320.843,36;91.510.381,09;87.979.850,42;
"COMPANHIA DE DESENV. DA HABITAÇÃO  DO DF - CODHAB";93.235.342,00;94.607.387,00;-32.480,85;3.958,68;187.806.289,47;123.492.469,11;106.524.198,74;
"COMPANHIA DE PLANEJ. DO DISTRITO FEDERAL-CODEPLAN";122.939.714,00;-3.140.501,00;-49.914.552,57;0,00;69.884.660,43;69.720.249,95;69.717.749,95;
"COMPANHIA DO METROPOLITANO DO DF - METRÔ-DF";467.101.411,00;99.436.500,00;0,00;1.301.706,72;565.236.204,28;465.573.184,61;435.772.126,95;
"COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP";822.161.514,00;285.629.431,00;16.218.638,89;27.315.354,81;1.096.694.229,08;1.003.248.641,91;892.678.768,64;
"CONTROLADORIA GERAL DO DISTRITO FEDERAL";71.004.275,00;4.848.714,00;-4.500,00;4.255,46;75.844.233,54;75.379.359,93;75.080.644,63;
"CORPO DE BOMB. MILITAR DO DISTRITO FEDERAL - CBMDF";22.576.982,00;39.455.321,00;0,00;25.205,72;62.007.097,28;25.343.574,75;25.076.358,67;
"DEFENSORIA PÚBLICA DO DISTRITO FEDERAL";247.854.599,00;2.536.891,00;0,00;0,00;250.391.490,00;245.274.147,10;239.519.701,01;
"DEPARTAMENTO DE TRÂNSITO DO DF - DETRAN-DF";436.011.082,00;203.839.956,00;0,00;0,48;639.851.037,52;533.568.553,77;452.862.132,26;
"DEPTO DE ESTRADAS E RODAGEM DO DF - DER/DF";458.258.432,00;466.746.127,00;884.208,81;11.217.763,52;914.671.004,29;627.898.793,08;568.345.124,98;
"DIRETORIA GERAL DE SAÚDE DE BRAZLÂNDIA";0,00;0,00;0,00;0,00;0,00;0,00;0,00;
"EMPRESA DE ASSIST. TÉC. E EXT. RURAL DO DF-EMATER";133.523.366,00;11.004.157,00;0,00;39.032,38;144.488.490,62;138.061.482,89;136.029.012,56;
"FUNDAÇÃO  UNIVERSIDADE ABERTA DO DF - FUNAB";24.071.792,00;0,00;-24.071.792,00;0,00;0,00;0,00;0,00;
"FUNDAÇÃO DE AMPARO AO TRABALHADOR PRESO - FUNAP";26.735.334,00;16.356.393,00;0,00;0,00;43.091.727,00;42.144.863,14;41.595.856,36;
"FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP";134.808.844,00;21.992.172,00;-6.327.483,92;53.568,75;150.419.963,33;135.882.346,90;87.253.040,31;
"FUNDAÇÃO DE ENS. E PESQ. EM CIÊNC. DA SAÚDE-FEPECS";18.940.014,00;-3.456.142,00;-2.725.470,56;177.233,37;12.581.168,07;12.269.959,39;12.264.792,73;
"FUNDAÇÃO HEMOCENTRO DE BRASÍLIA - FHB";45.342.515,00;3.661.273,00;66.602.580,05;44.352,11;115.562.015,94;90.648.402,11;83.680.718,27;
"FUNDAÇÃO JARDIM ZOOLÓGICO DE BRASÍLIA";24.220.145,00;1.288.790,00;0,00;708.497,19;24.800.437,81;23.191.986,77;21.282.601,33;
"FUNDO ANTIDROGAS DO DISTRITO FEDERAL - FUNPAD";4.046.000,00;-548.800,00;0,00;7.280,00;3.489.920,00;3.471.200,00;3.064.254,82;
"FUNDO DA ARTE E DA CULTURA - FAC";81.937.975,00;9.721.603,00;-600.000,00;22.877.330,53;68.182.247,47;60.179.882,69;22.493.370,98;
"FUNDO DA PROCURADORIA DO DISTRITO FEDERAL";42.739.189,00;73.891.821,00;0,00;0,00;116.631.010,00;22.749.772,48;21.739.849,76;
"FUNDO DA RECEITA TRIBUTÁRIA DO DF - PRÓ-RECEITA";85.418.491,00;-12.710.068,00;0,00;714.915,18;71.993.507,82;70.330.834,27;69.746.676,38;
"FUNDO DA UNIVERSIDADE DO DISTRITO FEDERAL -FUND";0,00;23.308.282,00;0,00;0,00;23.308.282,00;0,00;0,00;
"FUNDO DE APOIO À PESQUISA DO DISTRITO FEDERAL";10.000,00;0,00;0,00;2.800,00;7.200,00;0,00;0,00;
"FUNDO DE APOIO AO ESPORTE";24.234.441,00;52.884.888,00;-33.886.543,24;0,00;43.232.785,76;1.486.975,00;1.170.588,96;
"FUNDO DE APOIO E APARL. DO CENTº DE ASSIST JUD.DF";2.931.176,00;13.793.019,00;0,00;0,00;16.724.195,00;3.878.465,13;3.878.465,13;
"FUNDO DE APRIMORAMENTO DO CONTROLE INTERNO DO DF";16.913.434,00;21.900.000,00;0,00;0,00;38.813.434,00;38.541.619,00;38.541.619,00;
"FUNDO DE ASSISTÊNCIA À SAÚDE DA CLDF.";57.234.000,00;7.618.549,00;0,00;0,00;64.852.549,00;58.025.501,28;46.333.204,31;
"FUNDO DE ASSISTÊNCIA SOCIAL DO DISTRITO FEDERAL";104.594.421,00;99.582.811,00;-29.637,36;41.284,30;204.106.310,34;165.024.288,04;150.164.305,82;
"FUNDO DE COMBATE E ERRADICAÇÃO DA POBREZA";126.049.653,00;-23.648.373,00;0,00;0,00;102.401.280,00;102.401.280,00;102.400.840,00;
"FUNDO DE DEFESA DOS DIREITOS DO CONSUMIDOR";8.631.552,00;0,00;0,00;0,00;8.631.552,00;527.100,93;478.911,20;
"FUNDO DE DESENV. DO DISTRITO FEDERAL - FUNDEFE";10.534.927,00;-1.539.393,00;0,00;1.272.941,28;7.722.592,72;0,00;0,00;
"FUNDO DE DESENV. URBANO DO DISTRITO FEDERAL";15.790.486,00;-2.111.756,00;0,00;3.572.191,00;10.106.539,00;2.790.713,88;2.750.011,91;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";2.374.951.359,00;382.480.358,00;0,00;0,00;2.757.431.717,00;2.756.924.716,66;2.756.292.752,52;
"FUNDO DE MELHORIA DA GESTÃO PÚBLICA - PRÓ-GESTÃO";3.692.841,00;-947.282,00;0,00;0,00;2.745.559,00;1.805.049,43;1.805.049,43;
"FUNDO DE MOD., MANUT. E REEQ. DA PCDF - FUNPCDF";6.904.646,00;27.454.736,00;0,00;259.200,09;34.100.181,91;5.025.984,79;4.637.389,56;
"FUNDO DE MOD., MANUT. E REEQ. DO CBMDF - FUNCBM";4.110.753,00;8.717.568,00;0,00;345.600,00;12.482.721,00;5.985.165,73;4.547.886,09;
"FUNDO DE MOD., MANUTENÇÃO E REEQ. DA PMDF - FUNPM";6.240.100,00;17.599.676,00;0,00;0,00;23.839.776,00;916.854,49;601.450,49;
"FUNDO DE MODERNIZAÇÃO E REAPAR. DA ADM. FAZENDÁRIA";18.311.942,00;-8.970.633,00;0,00;178.658,79;9.162.650,21;8.993.715,43;7.716.289,20;
"FUNDO DE SAÚDE DA POLÍCIA MILITAR";178.591,00;-15.000,00;0,00;0,00;163.591,00;150.000,00;0,00;
"FUNDO DE SAÚDE DO DISTRITO FEDERAL";3.634.474.682,00;-3.663.385.529,68;73.050.946,74;1.330.847,86;42.809.251,20;0,00;0,00;
"FUNDO DE SEGURANÇA PÚBLICA DO DISTRITO FEDERAL -";25.500.000,00;62.088.900,00;0,00;0,00;87.588.900,00;16.616.989,49;16.616.989,49;
"FUNDO DISTRITAL DE COMBATE À CORRUPÇÃO (FDCC)";0,00;1.914.652,00;0,00;0,00;1.914.652,00;25.000,00;25.000,00;
"FUNDO DISTRITAL DE DESENVOLVIMENTO RURAL - FDR";2.873.672,00;224.237,00;0,00;7.000,00;3.090.909,00;2.404.369,52;2.392.076,83;
"FUNDO DISTRITAL DE HAB. DE INTERESSE SOCIAL";24.067,00;0,00;0,00;2.079,40;21.987,60;0,00;0,00;
"FUNDO DISTRITAL DE SANIDADE ANIMAL";53.877,00;26.245,00;0,00;0,00;80.122,00;17.327,06;17.327,06;
"FUNDO DO DIREITO DA CRIANCA E DO ADOLESCENTE";61.574.268,00;48.613.620,00;-5.775.671,52;0,00;104.412.216,48;21.186.800,93;20.792.005,53;
"FUNDO DO TRABALHO DO DISTRITO FEDERAL - FTDF";10.000,00;403.222,00;0,00;2.744,00;410.478,00;174.228,20;134.851,36;
"FUNDO DOS DIREITOS DO IDOSO DO DF - FDI/DF";20.000,00;2.459.971,00;0,00;5.600,00;2.474.371,00;0,00;0,00;
"FUNDO FINANCEIRO DE PREVIDÊNCIA DO DF";5.504.471.329,00;62.991.588,00;-17.863.428,00;41.447.753,22;5.508.151.735,78;4.753.198.914,89;4.748.824.845,06;
"FUNDO MODER, MANUT E REAPAR ATIV. URBANA- FUNDAFAU";3.758.054,00;38.908.713,00;0,00;0,00;42.666.767,00;42.603.677,83;42.594.077,83;
"FUNDO P/A GERAÇÃO DE EMP. E RENDA DO DF - FUNGER";12.264.773,00;-2.000.000,00;0,00;155.465,19;10.109.307,81;7.746.107,32;7.646.777,88;
"FUNDO PENITENCIÁRIO DO DF - FUNPDF";5.908.207,00;51.780.049,00;0,00;4.411,72;57.683.844,28;3.395.473,55;3.090.414,40;
"FUNDO ÚNICO DE MEIO AMBIENTE DO DISTRITO FEDERAL";1.457.210,00;3.052.555,00;0,00;0,00;4.509.765,00;57.769,87;57.769,87;
"GABINETE DO VICE-GOVERNADOR DO DISTRITO FEDERAL";12.786.002,00;1.427.432,00;0,00;10.703,89;14.202.730,11;13.857.845,72;13.784.800,68;
"INSTITUTO DE ASSIST. À SAÚDE DOS SERV. DO DF-INAS";449.000.000,00;85.400.542,00;0,00;0,00;534.400.542,00;530.395.117,70;378.552.689,68;
"INSTITUTO DE DEFESA DO CONSUMIDOR DO DF";14.622.915,00;2.572.104,00;0,00;31.938,35;17.163.080,65;16.704.031,69;16.582.980,38;
"INSTITUTO DE MEIO AMBIENTE E REC. HÍDRICOS DO DF";96.401.198,00;9.336.138,00;0,00;258.375,20;105.478.960,80;103.443.601,47;101.981.586,19;
"INSTITUTO DE PESQUISA E ESTATÍSTICA DO DF";0,00;-2.791.285,00;51.270.102,57;10.000,00;48.468.817,57;47.323.795,52;46.239.656,85;
"INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO DF";0,00;0,00;17.363.428,00;0,00;17.363.428,00;14.177.520,08;13.821.119,53;
"JARDIM BOTÂNICO DE BRASÍLIA";6.511.549,00;408.189,00;0,00;1,55;6.919.736,45;6.697.319,36;6.308.397,91;
"JUNTA COMERCIAL, INDUSTRIAL E SERVIÇOS DO DF";15.120.000,00;8.880.000,00;0,00;0,00;24.000.000,00;17.025.709,23;16.867.144,11;
"NOVO FUNDO CAPITALIZADO DE PREVIDÊNCIA DO DF";0,00;0,00;500.000,00;0,00;500.000,00;277.410,21;277.410,21;
"POLÍCIA CIVIL DO DISTRITO FEDERAL - PCDF";109.094.281,00;65.285.237,00;0,00;23.775,80;174.355.742,20;137.929.135,11;125.675.832,59;
"POLÍCIA MILITAR DO DISTRITO FEDERAL - PMDF";78.299.925,00;66.398.114,00;89.723,32;324.227,33;144.463.534,99;99.048.982,22;92.149.854,55;
"PROCURADORIA - GERAL DO DISTRITO FEDERAL";163.252.656,00;11.689.640,00;0,00;9.577,15;174.932.718,85;174.005.824,19;173.892.811,04;
"REGIÃO ADMINISTRATIVA DE ARNIQUEIRA - RA XXXIII";3.043.990,00;415.616,00;0,00;20.125,07;3.439.480,93;3.421.243,60;3.395.591,20;
"REGIÃO ADMINISTRATIVA DO SOL NASCENTE - RA XXXII";3.633.547,00;-3.365.606,00;-3.400,00;23.803,10;240.737,90;0,00;0,00;
"RESERVA DE CONTINGENCIA";267.639.399,00;-246.637.813,00;0,00;0,00;21.001.586,00;0,00;0,00;
"SEC DE EST DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO DO DF";0,00;0,00;0,00;0,00;0,00;0,00;0,00;
"SEC. DE ESTADO DE DESENVOLVIMENTO ECONÔMICO DO DF";82.004.940,00;38.992.954,00;11.448.554,00;393.823,93;132.052.624,07;114.411.995,30;89.858.566,61;
"SEC. DE ESTADO PROT. ORDEM URBANÍSTICA - DF LEGAL";196.805.368,00;34.198.254,00;0,00;6,41;231.003.615,59;228.244.094,08;225.655.605,27;
"SEÇÃO DE ORÇAMENTO DA SEPLAD";4.546.594.385,00;-1.769.876.005,00;-152.115.951,52;12.974.875,75;2.611.627.552,73;2.383.260.745,72;2.282.178.082,56;
"SECR. DE ESTADO DE PLANEJAMENTO, ORÇAMENTO E ADMIN";0,00;0,00;1.155.437.937,00;0,00;1.155.437.937,00;1.155.396.497,49;1.137.909.327,54;
"SECR. DE ESTADO DE TRABALHO DO DISTRITO FEDERAL";147.760.370,00;49.039.918,00;170.500,00;57.327,49;196.913.460,51;196.265.669,70;188.334.204,35;
"SECRETARIA  DE ESTADO DE COMUNICAÇÃO DO DISTRITO F";105.327.600,00;46.878.965,00;-2.000,00;21.343,04;152.183.221,96;150.652.230,29;115.708.160,60;
"SECRETARIA DE AGRIC. ABASTECIMENTO E DESENV RURAL";85.753.386,00;38.959.764,00;0,00;686.759,24;124.026.390,76;87.817.813,56;85.225.805,83;
"SECRETARIA DE EST. DE  SEGURANÇA PÚBLICA DO DF";80.967.432,00;9.622.477,00;0,00;1.161.563,54;89.428.345,46;59.951.347,92;58.597.851,73;
"SECRETARIA DE EST. DE CULTURA E ECON. CRIAT. DO DF";160.982.277,00;36.819.398,00;-1.571.053,05;6.987.086,10;189.243.535,85;170.224.144,49;158.055.028,29;
"SECRETARIA DE EST. DE DESENV. SOCIAL DO DF";436.317.316,00;127.020.580,00;-194.524,74;6.890,80;563.136.480,46;562.046.903,92;543.979.729,56;
"SECRETARIA DE EST. DE DESENV. URB. E HABIT. DO DF";59.818.750,00;6.911.689,00;-26.611,62;0,00;66.703.827,38;66.402.671,00;65.708.789,27;
"SECRETARIA DE EST. DE JUSTIÇA E CIDADANIA DO DF";470.408.547,00;76.312.884,00;4.922.135,76;49,28;551.643.517,48;544.633.358,72;535.642.455,74;
"SECRETARIA DE EST. DE TURISMO DO DISTRITO FEDERAL";41.104.760,00;26.174.554,00;8.630.817,72;1.381.477,12;74.528.654,60;71.325.432,02;68.823.389,21;
"SECRETARIA DE EST.DE TRANSPORTE E MOBILIDADE DO DF";742.552.512,00;905.102.572,00;1.419.809,44;820.032,46;1.648.254.860,98;1.596.468.095,66;1.579.427.754,93;
"SECRETARIA DE ESTADO DA MULHER DO DISTRITO FEDERAL";34.099.908,00;14.552.338,00;650.000,00;13.636,67;49.288.609,33;38.703.890,92;38.254.756,02;
"SECRETARIA DE ESTADO DE ADM. PENITENCIÁRIA DO DF";417.216.377,00;83.396.471,00;0,00;0,64;500.612.847,36;496.820.865,43;486.632.554,34;
"SECRETARIA DE ESTADO DE ATEND. À COMUNIDADE DO DF";4.572.788,00;2.993.971,00;0,00;5.600,00;7.561.159,00;7.349.274,87;7.332.046,16;
"SECRETARIA DE ESTADO DE CIÊNCIA, TECNOLOGIA E INOV";11.046.062,00;3.439.210,00;8.142.483,92;8.484,04;22.619.271,88;22.103.152,73;22.034.302,73;
"SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF";3.775.983.025,80;950.791.771,00;-97.421.205,97;526.209,00;4.628.827.381,83;4.476.826.735,17;4.367.480.230,25;
"SECRETARIA DE ESTADO DE EMPREENDEDORISMO DO DF";11.093.554,00;100.000,00;-11.193.554,00;0,00;0,00;0,00;0,00;
"SECRETARIA DE ESTADO DE ESPORTE E LAZER DO DF";122.819.115,00;35.060.477,00;20.657.534,05;1.485.573,59;177.051.552,46;143.712.743,23;137.861.496,56;
"SECRETARIA DE ESTADO DE GOVERNO DO DISTRITO FEDERA";17.572.838,00;3.970.177,00;-2.367.660,72;4.371,11;19.170.983,17;19.116.185,67;18.821.723,43;
"SECRETARIA DE ESTADO DE JUVENTUDE DO DISTRITO FEDE";3.753.000,00;-1.953.000,00;-1.800.000,00;0,00;0,00;0,00;0,00;
"SECRETARIA DE ESTADO DE OBRAS E INFRAEST. DO DF";682.325.082,00;315.489.505,00;150.980.573,00;16.020.182,68;1.132.774.977,32;562.108.641,65;490.872.993,41;
"SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL";0,00;0,00;6.030.539.027,56;1.341.622,68;6.029.197.404,88;5.638.709.740,51;5.356.200.954,70;
"SECRETARIA DE ESTADO DO MEIO AMBIENTE";17.549.970,00;4.295.242,00;0,00;359.714,04;21.485.497,96;17.207.199,20;17.057.527,47;
"SECRETARIA DE GESTÃO ADMINISTRATIVA E DESBUROCRATI";0,00;0,00;0,00;0,00;0,00;0,00;0,00;
"SERVIÇO DE LIMPEZA URBANA DO DISTRITO FEDERAL- SLU";589.308.218,00;122.198.644,00;4.759.596,00;852.410,22;715.414.047,78;710.694.064,35;691.228.139,37;
"SOCIED. DE TRANSP. COLETIVOS DE BRASILIA - TCB";24.268.462,00;-389.230,00;101.718.629,63;199.924,79;125.397.936,84;124.114.508,77;123.369.309,80;
"SOCIEDADE DE ABASTECIMENTO DE BRASILIA S/A SAB";20.560.524,00;48.740,00;0,00;0,00;20.609.264,00;20.560.250,89;20.509.411,16;
"TRIBUNAL DE CONTAS DO DISTRITO FEDERAL";451.458.300,00;-53.794.400,00;0,00;0,00;397.663.900,00;394.981.828,03;387.486.380,27;
"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";0,00;-18.086.235,00;24.071.792,00;15.036,04;5.970.520,96;5.112.116,56;5.071.927,45;
