﻿Destalhamento da Despesa 2024
Unid. Gestora;Aprovado;Alteração;Movimentação;Bloqueado;Autorizado;Empenhado;Liquidado;
"ADMINISTRAÇÃO REGIONAL DE VICENTE PIRES";8.451.871,00;-1.300.000,00;0,00;3.178.193,36;3.973.677,64;3.161.498,21;3.014.945,26;
"ADMINISTRAÇÃO REGIONAL DO  NÚCLEO BANDEIRANTE";13.523.322,00;-2.260.000,00;0,00;5.977.106,75;5.286.215,25;3.799.711,29;3.230.128,13;
"ADMINISTRAÇÃO REGIONAL DO CRUZEIRO";6.552.015,00;592.388,00;0,00;2.839.732,79;4.304.670,21;3.018.760,82;2.834.937,96;
"ADMINISTRAÇÃO REGIONAL DO GAMA";17.863.958,00;-1.009.900,00;0,00;7.717.653,81;9.136.404,19;6.012.066,87;5.779.435,62;
"ADMINISTRAÇÃO REGIONAL DO GUARÁ";16.799.268,00;-1.881.220,00;0,00;4.245.581,28;10.672.466,72;5.849.393,85;4.992.994,01;
"ADMINISTRAÇÃO REGIONAL DO ITAPOÃ";5.779.766,00;-600.000,00;0,00;2.501.219,58;2.678.546,42;2.044.507,09;1.852.293,30;
"ADMINISTRAÇÃO REGIONAL DO JARDIM BOTÂNICO";8.608.173,00;0,00;0,00;4.048.227,18;4.559.945,82;3.348.179,51;3.341.469,66;
"ADMINISTRAÇÃO REGIONAL DO LAGO NORTE";7.008.046,00;150.000,00;0,00;3.406.771,69;3.751.274,31;2.752.456,59;2.605.541,14;
"ADMINISTRAÇÃO REGIONAL DO LAGO SUL";6.899.675,00;0,00;0,00;2.480.978,04;4.418.696,96;2.335.210,90;2.277.526,51;
"ADMINISTRAÇÃO REGIONAL DO PARANOÁ";6.645.607,00;-350.000,00;0,00;3.125.901,05;3.169.705,95;2.179.088,01;2.103.220,60;
"ADMINISTRAÇÃO REGIONAL DO PARK WAY";6.464.181,00;-250.000,00;0,00;2.422.908,32;3.791.272,68;2.560.618,88;2.382.097,72;
"ADMINISTRAÇÃO REGIONAL DO PLANO PILOTO";20.420.188,00;-4.150.000,00;0,00;6.957.635,08;9.312.552,92;5.125.815,09;4.998.104,03;
"ADMINISTRAÇÃO REGIONAL DO RECANTO DAS EMAS";9.117.770,00;294.000,00;0,00;2.599.301,89;6.812.468,11;3.388.448,18;3.335.461,05;
"ADMINISTRAÇÃO REGIONAL DO RIACHO FUNDO";13.831.737,00;-2.825.000,00;0,00;5.715.494,66;5.291.242,34;3.503.444,41;3.369.023,42;
"ADMINISTRAÇÃO REGIONAL DO RIACHO FUNDO II";5.121.047,00;805.000,00;0,00;2.267.135,74;3.658.911,26;2.680.155,90;1.970.734,66;
"ADMINISTRAÇÃO REGIONAL DO SUDOESTE/OCTOGONAL";5.881.624,00;0,00;0,00;2.654.819,81;3.226.804,19;2.492.211,46;2.353.655,21;
"ADMINISTRAÇÃO REGIONAL DO VARJÃO";3.017.336,00;0,00;0,00;857.970,25;2.159.365,75;1.131.632,06;1.109.146,57;
"ADMINISTRAÇÃO REGIONAL SETOR IND. E ABASTECIMENTO";4.730.505,00;500.000,00;0,00;1.480.472,40;3.750.032,60;2.065.307,58;1.756.980,64;
"AG. REG. DE ÁGUAS E SAN. BÁSICO DO DF - ADASA";105.484.364,00;6.426.387,00;-603.101,16;8.777,00;111.298.872,84;44.953.007,12;25.243.136,95;
"ARQUIVO PÚBLICO DO DISTRITO FEDERAL";5.928.010,00;500.000,00;0,00;2.775.104,06;3.652.905,94;2.056.796,05;2.036.576,53;
"CÂMARA LEGISLATIVA DO DISTRITO FEDERAL";690.515.500,00;95.000.000,00;-150.639,00;0,00;785.364.861,00;356.192.886,57;257.316.917,55;
"CASA CIVIL DO DISTRITO FEDERAL";98.523.761,00;-30.000,00;-852.084,10;43.868.234,39;53.773.442,51;42.158.709,33;40.862.840,25;
"COMPANHIA DE DESENV. DA HABITAÇÃO  DO DF - CODHAB";112.747.746,00;41.584.788,00;-40.500,00;25.915.987,08;128.376.046,92;61.735.832,21;42.495.550,43;
"COMPANHIA DE PLANEJ. DO DISTRITO FEDERAL-CODEPLAN";1.674.211,00;0,00;0,00;741.134,00;933.077,00;577.349,34;549.980,88;
"COMPANHIA DO METROPOLITANO DO DF - METRÔ-DF";569.432.365,00;83.586.767,00;0,00;104.902.688,04;548.116.443,96;448.814.277,64;219.146.869,21;
"COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP";777.730.069,00;321.056.135,00;100.469.089,94;225.400.324,93;973.854.969,01;633.870.401,11;428.041.939,38;
"CONTROLADORIA GERAL DO DISTRITO FEDERAL";86.309.662,00;20.723.058,00;1.923.000,00;11.696.288,36;97.259.431,64;38.068.386,88;37.610.778,07;
"CORPO DE BOMB. MILITAR DO DISTRITO FEDERAL - CBMDF";39.704.025,00;32.503.910,00;0,00;23.220.705,63;48.987.229,37;41.133.119,34;9.196.273,51;
"DEFENSORIA PÚBLICA DO DISTRITO FEDERAL";347.867.786,00;-250.000,00;0,00;3.050.000,00;344.567.786,00;147.839.027,16;136.078.765,37;
"DEPARTAMENTO DE TRÂNSITO DO DF - DETRAN-DF";760.574.210,00;78.055.146,00;0,00;0,00;838.629.356,00;258.317.471,72;190.653.031,83;
"DEPTO DE ESTRADAS E RODAGEM DO DF - DER/DF";1.014.396.530,00;366.898.808,00;0,00;268.656.664,78;1.112.638.673,22;436.721.161,55;229.887.531,46;
"EMPRESA DE ASSIST. TÉC. E EXT. RURAL DO DF-EMATER";161.421.138,00;9.558.458,00;0,00;71.684.663,73;99.294.932,27;69.845.807,63;63.311.757,87;
"FUNDAÇÃO DE AMPARO AO TRABALHADOR PRESO - FUNAP";63.130.161,00;0,00;0,00;4.140.753,48;58.989.407,52;33.339.282,45;23.635.249,73;
"FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP";164.310.394,00;14.127.728,00;-9.912.360,00;79.859.914,37;88.665.847,63;43.158.445,76;32.699.016,60;
"FUNDAÇÃO DE ENS. E PESQ. EM CIÊNC. DA SAÚDE-FEPECS";27.419.743,00;0,00;-2.880.261,52;12.735.776,83;11.803.704,65;7.289.201,78;5.467.470,14;
"FUNDAÇÃO HEMOCENTRO DE BRASÍLIA - FHB";49.465.295,00;-1.950.000,00;84.194.918,68;41.436.544,97;90.273.668,71;53.380.890,78;35.431.504,49;
"FUNDAÇÃO JARDIM ZOOLÓGICO DE BRASÍLIA";26.822.406,00;5.336.572,00;0,00;10.604.916,17;21.554.061,83;16.076.313,08;10.889.799,07;
"FUNDO ANTIDROGAS DO DISTRITO FEDERAL - FUNPAD";3.636.305,00;0,00;0,00;446.697,91;3.189.607,09;360.416,68;300.000,00;
"FUNDO DA ARTE E DA CULTURA - FAC";100.471.205,00;7.911.494,00;0,00;13.302.229,98;95.080.469,02;10.294.700,93;9.675.930,93;
"FUNDO DA PROCURADORIA DO DISTRITO FEDERAL";48.746.980,00;121.842.041,00;0,00;0,00;170.589.021,00;15.046.538,81;11.146.585,55;
"FUNDO DA RECEITA TRIBUTÁRIA DO DF - PRÓ-RECEITA";129.756.507,00;0,00;0,00;53.446.888,86;76.309.618,14;49.734.630,14;46.713.686,56;
"FUNDO DA UNIVERSIDADE DO DISTRITO FEDERAL -FUND";64.891.519,00;0,00;0,00;33.171.607,66;31.719.911,34;1.261.730,91;881.852,48;
"FUNDO DE APOIO À PESQUISA DO DISTRITO FEDERAL";8.393,00;0,00;0,00;4.290,40;4.102,60;0,00;0,00;
"FUNDO DE APOIO AO ESPORTE";6.758.699,00;85.720.514,00;-26.819.061,15;2.618.750,00;63.041.401,85;1.480.620,00;981.876,28;
"FUNDO DE APOIO E APARL. DO CENTº DE ASSIST JUD.DF";4.925.951,00;18.154.216,00;0,00;0,00;23.080.167,00;1.003.159,74;397.982,85;
"FUNDO DE APRIMORAMENTO DO CONTROLE INTERNO DO DF";107.870.046,00;-500.000,00;-1.933.000,00;54.978.385,76;50.458.660,24;36.419.919,77;36.041.851,22;
"FUNDO DE ASSISTÊNCIA À SAÚDE DA CLDF.";69.638.308,00;0,00;0,00;0,00;69.638.308,00;17.957.845,38;17.922.042,82;
"FUNDO DE ASSISTÊNCIA SOCIAL DO DISTRITO FEDERAL";140.168.474,00;980.000,00;0,00;21.199.485,58;119.948.988,42;73.137.156,67;69.102.991,29;
"FUNDO DE COMBATE E ERRADICAÇÃO DA POBREZA";130.499.206,00;-2.000.000,00;0,00;1.600.000,00;126.899.206,00;126.899.206,00;51.413.920,00;
"FUNDO DE DEFESA DOS DIREITOS DO CONSUMIDOR";16.777.781,00;830.000,00;0,00;0,00;17.607.781,00;898.668,27;757.868,80;
"FUNDO DE DESENV. DO DISTRITO FEDERAL - FUNDEFE";9.538.743,00;1.707.313,00;0,00;0,00;11.246.056,00;4.308.409,00;4.308.409,00;
"FUNDO DE DESENV. URBANO DO DISTRITO FEDERAL";23.787.694,00;0,00;-12.358.022,00;0,00;11.429.672,00;1.107.037,45;55.546,74;
"FUNDO DE FOMENTO À IND. DO TURISMO DO DF - FITUR";100.000,00;0,00;0,00;51.118,62;48.881,38;0,00;0,00;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";2.754.074.999,00;251.857.038,00;0,00;51.814.000,00;2.954.118.037,00;1.278.422.503,80;1.276.450.483,68;
"FUNDO DE MELHORIA DA GESTÃO PÚBLICA - PRÓ-GESTÃO";9.871.645,00;0,00;0,00;0,00;9.871.645,00;3.406.584,80;997.902,18;
"FUNDO DE MOD., MANUT. E REEQ. DA PCDF - FUNPCDF";5.127.069,00;40.039.662,00;0,00;245.734,07;44.920.996,93;0,00;0,00;
"FUNDO DE MOD., MANUT. E REEQ. DO CBMDF - FUNCBM";4.495.296,00;9.529.872,00;0,00;0,00;14.025.168,00;1.075.261,06;675.261,06;
"FUNDO DE MOD., MANUTENÇÃO E REEQ. DA PMDF - FUNPM";8.100.000,00;26.861.399,00;0,00;74.757,33;34.886.641,67;9.184.742,07;8.122.517,18;
"FUNDO DE MODERNIZAÇÃO E REAPAR. DA ADM. FAZENDÁRIA";29.289.823,00;-3.000.000,00;0,00;12.357.376,03;13.932.446,97;1.752.380,89;1.032.065,22;
"FUNDO DE SAÚDE DA POLÍCIA MILITAR";430.470,00;0,00;0,00;214.519,04;215.950,96;0,00;0,00;
"FUNDO DE SAÚDE DO CORPO DE BOMBEIROS";500.000,00;0,00;0,00;255.592,80;244.407,20;0,00;0,00;
"FUNDO DE SAÚDE DO DISTRITO FEDERAL";4.020.185.134,00;-3.543.066.814,72;-133.120.278,42;309.757.374,78;34.240.666,08;0,00;0,00;
"FUNDO DE SEGURANÇA PÚBLICA DO DISTRITO FEDERAL -";37.438.352,00;113.071.328,00;0,00;0,00;150.509.680,00;28.424.951,75;7.769.501,03;
"FUNDO DISTRITAL DE COMBATE À CORRUPÇÃO (FDCC)";16.786,00;2.492.054,00;0,00;8.580,83;2.500.259,17;49.320,00;49.320,00;
"FUNDO DISTRITAL DE DESENVOLVIMENTO RURAL - FDR";3.581.275,00;1.014.000,00;0,00;1.441.050,58;3.154.224,42;654.029,12;528.704,12;
"FUNDO DISTRITAL DE HAB. DE INTERESSE SOCIAL";398.905,00;0,00;0,00;55.765,76;343.139,24;0,00;0,00;
"FUNDO DISTRITAL DE SANIDADE ANIMAL";200.000,00;0,00;0,00;0,00;200.000,00;0,00;0,00;
"FUNDO DO DIREITO DA CRIANCA E DO ADOLESCENTE";72.930.227,00;57.506.669,00;-11.970.137,81;0,00;118.466.758,19;14.542.449,64;6.018.163,39;
"FUNDO DO TRABALHO DO DISTRITO FEDERAL - FTDF";85.090,00;60.446.004,00;0,00;82.159,88;60.448.934,12;225.629,52;109.634,04;
"FUNDO DOS DIREITOS DO IDOSO DO DF - FDI/DF";16.786,00;3.589.816,00;0,00;8.580,82;3.598.021,18;0,00;0,00;
"FUNDO FINANCEIRO DE PREVIDÊNCIA DO DF";5.349.754.829,00;839.869.932,00;-340.828.911,40;30.642.861,00;5.818.152.988,60;2.021.268.239,73;2.016.005.421,29;
"FUNDO MODER, MANUT E REAPAR ATIV. URBANA- FUNDAFAU";107.870.046,00;0,00;-2.794.836,19;46.837.608,61;58.237.601,20;48.692.866,98;48.692.866,98;
"FUNDO P/A GERAÇÃO DE EMP. E RENDA DO DF - FUNGER";26.094.488,00;0,00;0,00;13.296.805,37;12.797.682,63;3.994.041,46;3.946.959,62;
"FUNDO PENITENCIÁRIO DO DF - FUNPDF";2.750.000,00;60.216.142,00;0,00;0,00;62.966.142,00;46.499.151,98;1.987.479,57;
"FUNDO ÚNICO DE MEIO AMBIENTE DO DISTRITO FEDERAL";3.411.413,00;0,00;0,00;0,00;3.411.413,00;477.430,00;477.430,00;
"GABINETE DO VICE-GOVERNADOR DO DISTRITO FEDERAL";40.676.718,00;3.334.820,00;0,00;8.997.436,66;35.014.101,34;30.178.887,07;14.281.908,18;
"INSTITUTO DE ASSIST. À SAÚDE DOS SERV. DO DF-INAS";791.908.110,00;0,00;0,00;100.000,00;791.808.110,00;447.678.821,78;406.959.213,56;
"INSTITUTO DE DEFESA DO CONSUMIDOR DO DF";19.196.774,00;1.401.441,00;0,00;9.513.146,18;11.085.068,82;8.050.741,47;7.923.497,06;
"INSTITUTO DE MEIO AMBIENTE E REC. HÍDRICOS DO DF";121.652.420,00;3.253.321,00;49.120,95;43.011.008,49;81.943.853,46;46.103.374,46;42.376.922,62;
"INSTITUTO DE PESQUISA E ESTATÍSTICA DO DF";114.575.143,00;4.795.568,00;-10.756,33;51.640.577,93;67.719.376,74;52.059.153,38;47.014.865,21;
"INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO DF";0,00;0,00;34.081.083,01;0,00;34.081.083,01;11.907.723,91;8.165.030,29;
"JARDIM BOTÂNICO DE BRASÍLIA";8.589.547,00;1.500.000,00;0,00;3.541.837,83;6.547.709,17;3.454.333,54;3.105.919,82;
"JUNTA COMERCIAL, INDUSTRIAL E SERVIÇOS DO DF";30.003.478,00;-1.000.000,00;0,00;0,00;29.003.478,00;3.594.791,02;3.024.445,92;
"NOVO FUNDO CAPITALIZADO DE PREVIDÊNCIA DO DF";0,00;0,00;306.741.441,00;0,00;306.741.441,00;222.456,02;222.456,02;
"POLÍCIA CIVIL DO DISTRITO FEDERAL - PCDF";183.253.944,00;-7.951.813,00;0,00;49.993.937,83;125.308.193,17;76.163.299,03;59.594.687,01;
"POLÍCIA MILITAR DO DISTRITO FEDERAL - PMDF";95.074.750,00;45.835.083,00;0,00;23.745.860,85;117.163.972,15;48.265.023,01;31.992.809,38;
"PROCURADORIA - GERAL DO DISTRITO FEDERAL";195.936.314,00;15.120.304,00;0,00;93.722.878,35;117.333.739,65;95.768.547,31;95.748.466,32;
"REGIÃO ADMINISTRATIVA DE ARNIQUEIRA - RA XXXIII";3.945.624,00;652.070,00;0,00;1.580.245,60;3.017.448,40;2.151.724,76;2.108.863,20;
"REGIÃO ADMINISTRATIVA DO SOL NASCENTE - RA XXXII";3.013.173,00;-933.040,00;0,00;1.073.889,24;1.006.243,76;0,00;0,00;
"RESERVA DE CONTINGENCIA";329.907.120,00;-443.411.009,00;0,00;66.417.200,00;-179.921.089,00;0,00;0,00;
"SEC DE EST DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO DO DF";0,00;0,00;0,00;0,00;0,00;0,00;0,00;
"SEC. DE ESTADO PROT. ORDEM URBANÍSTICA - DF LEGAL";279.040.951,00;9.007.360,00;2.794.836,19;97.087.787,88;193.755.359,31;126.895.087,17;102.809.760,05;
"SEÇÃO DE ORÇAMENTO DA SEEC";3.782.898.421,00;-861.769.050,93;-1.954.488,50;1.020.618.018,11;1.898.556.863,46;1.554.959.822,81;1.170.559.580,54;
"SECR. DE ESTADO DE ECONOMIA DO DF";0,00;0,00;1.254.777.620,93;157.778.563,10;1.096.999.057,83;1.053.468.638,51;556.039.177,45;
"SECR. EST. DESENV. ECON., TRABALHO E RENDA DO DF";264.048.167,00;14.287.345,00;0,00;102.727.912,00;175.607.600,00;150.888.478,37;89.961.147,55;
"SECRETARIA  DE ESTADO DE COMUNICAÇÃO DO DISTRITO F";193.988.778,00;6.177.358,00;-3.370,00;64.493.758,60;135.669.007,40;84.576.488,44;49.553.040,05;
"SECRETARIA DE AGRIC. ABASTECIMENTO E DESENV RURAL";102.094.084,00;38.943.860,00;0,00;50.626.651,70;90.411.292,30;36.835.647,86;31.597.256,57;
"SECRETARIA DE DESENVOLVIMENTO SOCIAL DO DF";649.903.374,00;44.095.333,00;0,00;213.260.341,58;480.738.365,42;465.678.735,10;306.411.797,06;
"SECRETARIA DE EST. DE  SEGURANÇA PÚBLICA DO DF";71.310.922,00;-2.166.192,00;0,00;4.316.459,20;64.828.270,80;52.099.097,82;26.863.042,67;
"SECRETARIA DE EST. DE CULTURA E ECON. CRIAT. DO DF";219.609.843,00;92.967.379,00;-1.816.913,92;95.976.161,14;214.784.146,94;139.156.051,16;118.361.597,88;
"SECRETARIA DE EST. DE DESENV. URB. E HABIT. DO DF";88.702.333,00;-91.883,00;0,00;42.180.141,31;46.430.308,69;31.250.072,05;29.608.482,86;
"SECRETARIA DE EST. DE JUSTIÇA E CIDADANIA DO DF";569.889.009,00;98.341.734,00;12.690.421,47;262.979.936,63;417.941.227,84;289.280.981,67;246.750.133,26;
"SECRETARIA DE EST. DE TURISMO DO DISTRITO FEDERAL";81.828.472,00;36.900.000,00;860.000,00;41.237.139,83;78.351.332,17;51.269.566,39;45.126.748,96;
"SECRETARIA DE EST.DE TRANSPORTE E MOBILIDADE DO DF";1.294.956.568,00;263.103.520,00;10.756,33;271.145.599,37;1.286.925.244,96;1.138.218.410,61;1.101.154.919,52;
"SECRETARIA DE ESTADO DA FAMÍLIA E JUVENTUDE DO DF";0,00;2.300.000,00;0,00;1.750.000,00;550.000,00;0,00;0,00;
"SECRETARIA DE ESTADO DA MULHER DO DISTRITO FEDERAL";50.917.413,00;57.130.314,00;-154.354,56;30.032.488,13;77.860.884,31;37.419.005,74;29.295.435,66;
"SECRETARIA DE ESTADO DE ADM. PENITENCIÁRIA DO DF";477.206.766,00;146.170.644,00;-603.101,16;209.632.491,56;413.141.817,28;251.379.199,73;242.133.736,96;
"SECRETARIA DE ESTADO DE ATEND. À COMUNIDADE DO DF";10.635.368,00;-150.000,00;0,00;4.500.049,20;5.985.318,80;3.756.330,23;3.612.365,04;
"SECRETARIA DE ESTADO DE CIÊNCIA, TECNOLOGIA E INOV";29.153.362,00;46.850.000,00;11.412.360,00;16.890.979,65;70.524.742,35;33.083.102,45;26.138.999,49;
"SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF";4.356.676.805,00;749.698.949,00;-145.453.151,01;1.439.454.682,62;3.521.467.920,37;1.848.959.805,85;1.442.629.411,87;
"SECRETARIA DE ESTADO DE ESPORTE E LAZER DO DF";209.808.144,00;49.279.487,00;21.476.226,59;66.616.209,69;213.947.647,90;74.830.727,05;54.235.033,91;
"SECRETARIA DE ESTADO DE GOVERNO DO DISTRITO FEDERA";21.051.537,00;0,00;-49.120,95;8.541.344,30;12.461.071,75;9.145.640,34;8.893.318,39;
"SECRETARIA DE ESTADO DE OBRAS E INFRAEST. DO DF";799.085.930,00;126.737.581,00;12.358.022,00;268.240.242,66;669.941.290,34;318.255.351,56;154.419.506,75;
"SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL";0,00;-137.935.067,00;4.485.198.395,72;625.853.247,47;3.721.410.081,25;2.604.385.389,02;1.995.661.915,18;
"SECRETARIA DE ESTADO DO MEIO AMBIENTE";37.200.604,00;10.020.000,00;0,00;17.819.956,99;29.400.647,01;16.081.686,36;14.281.706,15;
"SERVIÇO DE LIMPEZA URBANA DO DISTRITO FEDERAL- SLU";676.314.030,00;4.100.250,00;385.625,00;208.782.530,32;472.017.374,68;431.664.126,77;350.048.309,74;
"SOCIED. DE TRANSP. COLETIVOS DE BRASILIA - TCB";24.049.584,00;5.393.308,00;103.214.547,57;8.558.893,67;124.098.545,90;119.658.886,52;66.654.652,75;
"SOCIEDADE DE ABASTECIMENTO DE BRASÍLIA - SAB";21.273.828,00;115.000,00;0,00;10.065.591,78;11.323.236,22;8.282.483,53;8.257.179,36;
"TRIBUNAL DE CONTAS DO DISTRITO FEDERAL";590.234.927,00;0,00;0,00;0,00;590.234.927,00;305.141.256,98;225.709.721,58;
"UNIVERSIDADE DO DISTRITO FEDERAL - UNDF";14.883.235,00;5.456.000,00;0,00;1.420.389,54;18.918.845,46;8.414.936,37;6.899.460,96;
